Keyword,Intent,Type,Notes (Content placement),Search Volume,Competition,Opportunities,Comments
mindtrajour app,Nav,Brand,,,,Simplicity and Clean UX — many traders dislike bulky all-in-one platforms.,good to mention it and also for sea
mindtrajour trading journal,Nav,Brand,,,,German language + localisation,would take this as the focus keyword for EN Website- it's everything the brand is about
mindtrajour options journal,Comm,Brand + Niche,,,,Niche focus on options + multi-leg strategies + emotional tracking + journaling discipline,
mindtrajour erfahrungen,Info,Brand,,,,"Content & Education for beginners + intermediate traders: Blog, Glossary, etc.",
mindtrajour preis,Trans,Brand,,,,options-spread logging / multi-leg support / expiry & strike tracking,
mindtrajour anmelden,Nav,Brand,Login/Sign up,,,,Does not make sense for SEO in my opinion but would use it for sea for the home page not for login
mindtrajour funktionen,Info,Brand + Niche,Feature page,,,Keyoword Groups for the app,"if you want to create a feature page,I would take this as the focus keyword"
mindtrajour trading tracker,Info,Niche,,,,1. Multi-leg Options Keyword Cluster,
mindtrajour handelsjournal,Info,Niche,,,,2. Performance Dashboard & Analytics Cluster,good focus keyword for German website
mindtrajour emotions-tracking,Info,Niche,,,,3. Notes / Documentation Cluster,
trading journal deutsch,Info,Broad/Gen,,,,4. Emotions Tracking Cluster,
handelsjournal,Info,Broad/Gen,,,,5. Strategy Checklist Cluster,
trading journal app deutsch,Comm,Local/Niche,,,,6. Journal Filters & Data Management Cluster,don't know if it's useful to mention that it's in German but we can try for sea. I think it will not convert many impressions
online trading journal deutsch,Comm,Local/Niche,Homepage,,,7. Account & Settings Cluster,
options trading journal deutsch,Comm,Local/Niche,,,,,
options trades dokumentieren,Info,Niche,Blog,,Low,,good idea for blog article
optionen handelsjournal,Info,Niche,,,,,
multi-leg optionen journal,Info,Niche,,,,,
optionsstrategie journal,Info,Niche,,,Low,,
options trades tracken,Info,Niche,,,,,
trading emotionen tracken,Info,Niche,,,,,
tagebuch für optionen trading,Info,Niche,,,,,
trading journal vorlage,Info/Com,Niche,,,,,
wie dokumentiert man trades,Info,Broad/Gen,FAQ,,,,better for a FAQ page? Is trades just used for option trades or could it also mean something else?
warum trading journal wichtig ist,Info,Broad/Gen,FAQ,,,,better for a FAQ page?
optionen trades,Info,Broad/Gen,,High,,,
wie führt man ein trading journal,Info,Broad/Gen,,,,,better for a FAQ page?
trading lernen,Info,Broad/Gen,FAQ,High,,,not concrete enough. maybe better : optionshandel lernen/ optionsstrategien lernen
optionshandel für anfänger,Info,Broad/Gen,Blog,High,High,,optionshandel für anfänger would fit better - but the buyer persona knows it right? So therefore I would take it as prio 3
optionshandel tipps,Info,Broad/Gen,Blog,High,,,optionshandel tipps
online trading,Info,Broad/Gen,,High,,,
optionstrading,Comm,Broad/Gen,,High,,,
trading journal,Comm,Broad/Gen,,High,,,
trades tracken,Info,Broad/Gen,,High,,,
optionen handeln,Info,Broad/Gen,,High,,,
optionsstrategien,Info,Broad/Gen,Blog,High,,,
options trading lernen,Info,Broad/Gen,,High,Low,,
options trading glossary,Info,Broad/Gen,Glossary/ Blog,High,,,what do you mean with glossary? this keyword could be also used as focus keyword for a blog article
options trading analyse,Info,Broad/Gen,,High,,,options trading analyse
options tracking tool,Info/Com,Broad/Gen,Feature page,High,Low,,options tracking tool - here same as in line 43
analyse tool,Info,Broad/Gen,,High,,,to generic - would not take it
performance tracking tool,Info/Com,Broad/Gen,Blog,High,,,would crate a blog article with this keyword and put it also on the feature page so you can put an anchor tag from feature page to blog article
emotionen tracken beim trading,Info,Broad/Gen,,,,,
trading journal software,Trans,Niche,,,,,
trading journal software,Trans,Niche,,,,,
trading tagebuch software,Trans,Niche,,,,,
handelsjournal software,Trans,Niche,,,,,
optionen trading journal software,Trans,Niche,,,,,
optionen trades tracken tool,Trans,Niche,,,,,
trading tool testen,Trans,Broad/Gen,Pricing,,,,too generic - would focus on options trading - if it's for pricing I would go with keywords which mention pricing Like options trading price or for brand: mindtrajour price / same in German
trading journal kostenlos testen,Trans,Niche,Pricing,,,,
options trading journal deutsch,Trans,Niche,,,,,
optionstrader,Comm,Broad/Gen,,High,Low,,
options,,Broad/Gen,,,,,
options journal,,Broad/Gen,,,Low,,
multi leg optionen tracken,,Broad/Gen,,,,,
options trading performance analyse,,Niche,,,,,
optionsjournal deutsch,,Local/Niche,,,,,
anfängerfreundliches trading journal,,Niche,,,,,
App based Keywords,,,,,,,
multi leg optionen erfassen,Info,Niche,Feature page,Very L,,,
multi leg options trade journal,Comm,Niche,Feature page,Very L,,,
bull put spread erfassen,Info,Niche,Glossary/ Blog,Very L,,,
bear call spread erfassen,Info,Niche,Blog,Very L,,,
strike price dokumentieren,Info,Niche,Blog,,,,
options strike und laufzeit tracken,Info,Niche,Blog,,,,
options trade erfassen,Info,Niche,Feature page,Low,,,
handelsjournal trade anlegen,Comm,Broad/Gen,Blog,Med,,,could be a blog article topic with an anchor tag to the home page
trading performance dashboard,Info,Broad/Gen,Feature page,Med,,,too generic - could also mean stock trading
trading dashboard deutsch,Info,Local/Niche,Feature page,Med,,,too generic
performance analyse trading journal,Info,Niche,Feature page,Low,,,
gewinn verlust analyse tool,Comm,Broad/Gen,Feature page,Med,,,might be too generic but we can try
netto gewinn trading auswerten,Info,Broad/Gen,Blog,Med,,,
strategie erfolgsquote optionen,Info,Niche,Blog,Very L,,,
optionsstrategie rendite tracken,Info,Niche,Feature page,Very L,,,
portfolio analyse optionen,Info,Niche,Blog,Med,,,
trading performance optionen,Info,Niche,Blog,Med,,,
